date,open,high,low,fin,vol,,
2021-04-08T14:30:00,1170,1175,1170,1170,298158.6027,,
2021-04-08T14:00:00,1185,1185,1170,1175,7330202.989,,
2021-04-08T13:30:00,1170,1185,1165,1180,14829944.45,,
2021-04-08T13:00:00,1155,1180,1145,1175,13823599.31,,
2021-04-08T12:30:00,1135,1175,1130,1160,25645334.63,,
2021-04-08T12:00:00,1160,1165,1110,1135,57695548.83,,
2021-04-08T11:30:00,1190,1195,1160,1160,27145175.89,,
2021-04-08T11:00:00,1210,1215,1185,1190,14607555.6,,
2021-04-08T10:30:00,1200,1225,1200,1210,14264320.82,,
2021-04-08T10:00:00,1215,1225,1190,1205,22013725.53,,
2021-04-08T09:30:00,1205,1245,1190,1220,39211620.6,,
2021-04-08T09:00:00,1195,1225,1150,1205,64857729.98,,
2021-04-08T08:30:00,1220,1220,1180,1195,24129269.56,,
2021-04-08T08:00:00,1230,1230,1205,1220,18633185.81,,
2021-04-08T07:30:00,1220,1245,1210,1225,17597575.21,,
2021-04-08T07:00:00,1200,1250,1200,1220,25280897.72,,
2021-04-08T06:30:00,1165,1210,1160,1200,15387794.13,,
2021-04-08T06:00:00,1155,1175,1140,1165,10216336.93,,
2021-04-08T05:30:00,1150,1165,1140,1155,6943040.403,,
2021-04-08T05:00:00,1180,1185,1135,1150,7438894.207,,
2021-04-08T04:30:00,1180,1195,1165,1180,5543950.283,,
2021-04-08T04:00:00,1185,1190,1150,1180,13297944.48,,
2021-04-08T03:30:00,1190,1205,1180,1185,4974408.605,,
2021-04-08T03:00:00,1185,1215,1180,1185,6848910.772,,
2021-04-08T02:30:00,1205,1215,1180,1185,7961917.57,,
2021-04-08T02:00:00,1205,1220,1195,1205,10728756.16,,
2021-04-08T01:30:00,1205,1230,1195,1210,16351298.77,,
2021-04-08T01:00:00,1195,1215,1160,1205,31305774.07,,
2021-04-08T00:30:00,1210,1220,1180,1190,22951857.06,,
2021-04-08T00:00:00,1190,1245,1190,1210,25006113.56,,
